"","firstLast"
"1","Tammy Baldwin"
"2","Dianne Feinstein"
"3","Sheldon Whitehouse"
"4","Elizabeth Warren"
"5","Bill Nelson"
"6","John Thune"
"7","Jerry Moran"
"8","Johnny Isakson"
"9","James Inhofe"
"10","James Lankford"
"11","David Perdue"
"12","Dean Heller"
"13","John Boozman"
"14","Shelley Capito"
"15","Roy Blunt"
"16","John Barrasso"
"17","Chuck Grassley"
"18","James Risch"
"19","Cory Gardner"
"20","Tim Scott"
"21","Todd Young"
"22","Rand Paul"
"23","Mike Lee"
"24","Marco Rubio"
"25","Rob Portman"
"26","Steve Daines"
"27","John Cornyn"
"28","Orrin Hatch"
"29","Pat Toomey"
"30","Ron Johnson"
"31","Tom Cotton"
"32","Ted Cruz"
"33","Claire McCaskill"
"34","Thomas Carper"
"35","John McCain"
"36","Michael Enzi"
"37","Jon Tester"
"38","Brian Schatz"
"39","Tammy Duckworth"
"40","Joni Ernst"
"41","Ben Sasse"
"42","Thom Tillis"
"43","Chris Van Hollen"
"44","Richard Burr"
"45","Joe Manchin"
"46","Michael Bennet"
"47","Richard Blumenthal"
"48","Edward Markey"
"49","Christopher Murphy"
"50","Kirsten Gillibrand"
"51","Robert Menendez"
"52","Debbie Stabenow"
"53","Ron Wyden"
"54","Jeanne Shaheen"
"55","Patrick Leahy"
"56","Maria Cantwell"
"57","Benjamin Cardin"
"58","Jeff Merkley"
"59","Tom Udall"
"60","Al Franken"
"61","Christopher Coons"
"62","Tim Kaine"
"63","Cory Booker"
"64","Kamala Harris"
"65","Bill Cassidy"
"66","Jeff Flake"
"67","Mike Crapo"
"68","Pat Roberts"
"69","Roger Wicker"
"70","Deb Fischer"
"71","Mike Rounds"
"72","Dan Sullivan"
"73","John Kennedy"
"74","Luther Strange"
"75","Cindy Hyde-Smith"
"76","Martin Heinrich"
"77","Gary Peters"
"78","Sherrod Brown"
"79","Robert Casey"
"80","Richard Durbin"
"81","Amy Klobuchar"
"82","Patty Murray"
"83","Heidi Heitkamp"
"84","Tina Smith"
"85","Susan Collins"
"86","Jeff Sessions"
"87","Thad Cochran"
"88","Lisa Murkowski"
"89","Mitch McConnell"
"90","Charles Schumer"
"91","Richard Shelby"
"92","Mazie Hirono"
"93","Bernard Sanders"
"94","Angus King"
"95","Lindsey Graham"
"96","Lamar Alexander"
"97","Bob Corker"
"98","Jack Reed"
"99","Joe Donnelly"
"100","Catherine Cortez Masto"
"101","John Hoeven"
"102","Doug Jones"
"103","Mark Warner"
"104","Jon Kyl"
"105","Maggie Hassan"
